10.1.1.201,pod1master,kube-master,yum update -y
10.1.1.202,pod1node1,kube-node1,yum update -y
10.1.1.203,pod1node2,kube-node2,yum update -y
10.1.1.204,pod2master,kube-master,yum update -y
10.1.1.205,pod2node1,kube-node1,yum update -y
10.1.1.206,pod2node2,kube-node2,yum update -y
10.1.1.207,pod3master,kube-master,yum update -y
10.1.1.208,pod3node1,kube-node1,yum update -y
10.1.1.209,pod3node2,kube-node2,yum update -y
10.1.1.210,pod4master,kube-master,yum update -y
10.1.1.211,pod4node1,kube-node1,yum update -y
10.1.1.212,pod4node2,kube-node2,yum update -y
10.1.1.213,pod5master,kube-master,yum update -y
10.1.1.214,pod5node1,kube-node1,yum update -y
10.1.1.215,pod5node2,kube-node2,yum update -y
10.1.1.216,pod6master,kube-master,yum update -y
10.1.1.217,pod6node1,kube-node1,yum update -y
10.1.1.218,pod6node2,kube-node2,yum update -y
10.1.1.219,pod7master,kube-master,yum update -y
10.1.1.220,pod7node1,kube-node1,yum update -y
10.1.1.221,pod7node2,kube-node2,yum update -y
10.1.1.222,pod8master,kube-master,yum update -y
10.1.1.223,pod8node1,kube-node1,yum update -y
10.1.1.224,pod8node2,kube-node2,yum update -y
10.1.1.225,pod9master,kube-master,yum update -y
10.1.1.226,pod9node1,kube-node1,yum update -y
10.1.1.227,pod9node2,kube-node2,yum update -y
10.1.1.228,pod10master,kube-master,yum update -y
10.1.1.229,pod10node1,kube-node1,yum update -y
10.1.1.230,pod10node2,kube-node2,yum update -y
10.1.1.231,pod11master,kube-master,yum update -y
10.1.1.232,pod11node1,kube-node1,yum update -y
10.1.1.233,pod11node2,kube-node2,yum update -y
10.1.1.234,pod12master,kube-master,yum update -y
10.1.1.235,pod12node1,kube-node1,yum update -y
10.1.1.236,pod12node2,kube-node2,yum update -y
